"","Season","Team","W","L","SV","IP","ERA","FIP","WAR"
"2",2015,"STL",100,62,62,1464.2,2.94,3.48,20.6
"3",2018,"HOU",103,59,46,1455,3.11,3.23,28.6
"4",2016,"CHC",103,58,38,1459.2,3.15,3.77,18.8
"5",2015,"PIT",98,64,54,1489.2,3.23,3.36,19.5
"6",2017,"CLE",102,60,37,1440.2,3.3,3.33,30.4
"7",2015,"CHC",97,65,48,1461.1,3.36,3.3,22.9
"8",2017,"LAD",104,58,51,1444.2,3.38,3.67,21.7
"9",2019,"LAD",106,56,44,1445.2,3.39,3.73,24.4
"10",2018,"LAD",92,71,48,1476,3.4,3.6,18.9
"11",2015,"NYM",90,72,50,1462.2,3.45,3.53,19
"12",2015,"LAD",92,70,47,1445.2,3.46,3.41,19.7
"13",2016,"WSN",95,67,46,1459.2,3.52,3.58,23.5
"14",2015,"HOU",86,76,39,1441,3.57,3.66,18.9
"15",2016,"NYM",87,75,55,1447,3.58,3.57,21.5
"16",2015,"WSN",83,79,41,1434.2,3.62,3.45,22.2
"17",2018,"CHC",95,68,46,1476.1,3.65,4.14,14.1
"18",2019,"HOU",107,55,47,1462.1,3.66,3.98,23.1
"19",2017,"ARI",93,69,43,1441,3.67,3.8,22.9
"20",2019,"TBR",96,66,46,1474.1,3.67,3.65,25.1
"21",2015,"CLE",81,80,38,1432.2,3.68,3.62,21.1
"22",2016,"SFG",87,75,43,1460.1,3.69,3.76,14.2
"23",2016,"LAD",91,71,47,1453,3.7,3.61,20
"24",2018,"ARI",82,80,39,1463,3.73,3.91,13.2
"25",2015,"SFG",84,78,41,1444.1,3.73,3.92,8.8
"26",2018,"MIL",96,67,49,1461,3.73,4.01,14.4
"27",2017,"BOS",93,69,39,1482.1,3.73,3.78,23.2
"28",2015,"KCR",95,67,56,1452,3.74,4.04,13.8
"29",2015,"TBR",80,82,60,1453.1,3.74,3.91,14.7
"30",2017,"NYY",91,71,36,1448.2,3.75,3.88,23.4
"31",2018,"TBR",90,72,52,1448.1,3.75,3.82,17.4
"32",2018,"ATL",90,72,40,1456.2,3.75,3.99,14.9
"33",2018,"BOS",108,54,46,1458.2,3.75,3.82,18.5
"34",2018,"CLE",91,71,41,1457.1,3.77,3.79,21.9
"35",2018,"NYY",100,62,49,1456.1,3.78,3.63,24.4
"36",2016,"TOR",89,73,43,1459.1,3.79,4.04,16.8
"37",2019,"CLE",93,69,42,1437.2,3.79,4.06,21.7
"38",2015,"TOR",93,69,34,1441,3.81,4.09,13.7
"39",2018,"OAK",97,65,44,1465.2,3.82,4.18,13.4
"40",2019,"STL",91,71,52,1444,3.82,4.27,15.8
"41",2018,"STL",88,74,43,1455.1,3.85,3.97,14.4
"42",2016,"CLE",94,67,37,1445,3.86,3.91,18.2
"43",2017,"WSN",97,65,46,1446.2,3.88,3.99,23
"44",2015,"LAA",85,77,46,1440.2,3.94,4.06,12.2
"45",2018,"SFG",73,89,36,1461.1,3.95,3.98,14.1
"46",2017,"CHC",92,70,38,1447.1,3.95,4.2,16.8
"47",2019,"OAK",97,65,45,1465,3.97,4.34,18.5
"48",2015,"CHW",76,86,37,1452.2,3.98,3.82,17.4
"49",2017,"TBR",80,82,53,1445,3.99,4.17,15
"50",2016,"SEA",86,76,49,1457,4,4.3,14.5
"51",2017,"MIL",86,76,54,1445.2,4,4.24,17.1
"52",2016,"BOS",93,69,43,1439.2,4,4,18.8
"53",2018,"PIT",82,79,40,1434,4,4.06,14.9
"54",2017,"STL",83,79,43,1450.1,4.01,4.09,15.7
"55",2015,"NYY",87,75,48,1457.2,4.03,3.97,18.4
"56",2015,"MIA",71,91,35,1427,4.04,3.98,12.2
"57",2018,"WSN",82,80,40,1446,4.04,4.15,16.4
"58",2015,"ARI",79,83,44,1466.2,4.05,4.21,10.6
"59",2016,"MIA",79,82,55,1435,4.05,3.97,15.5
"60",2015,"BAL",81,81,43,1434.2,4.05,4.11,15.8
"61",2016,"HOU",84,78,44,1468,4.06,3.85,17.6
"62",2015,"MIN",83,79,45,1443,4.07,4.1,16
"63",2018,"NYM",77,85,41,1460.2,4.07,3.97,17.8
"64",2016,"STL",86,76,38,1448.1,4.08,3.88,16.6
"65",2015,"SDP",74,88,41,1440.1,4.09,3.93,9.7
"66",2016,"MIL",73,89,46,1434.1,4.1,4.37,11.1
"67",2019,"CHC",84,78,38,1442,4.1,4.25,16
"68",2016,"CHW",78,84,43,1446.2,4.12,4.27,17.1
"69",2017,"HOU",101,61,45,1446,4.12,3.91,19
"70",2018,"SEA",89,73,60,1448.2,4.13,4.05,16.4
"71",2018,"PHI",80,82,44,1445.2,4.15,3.83,19.6
"72",2018,"LAA",80,82,35,1437.1,4.15,4.36,12.1
"73",2015,"OAK",68,94,28,1444.2,4.16,4.13,13
"74",2015,"SEA",76,86,45,1463,4.16,4.14,9.1
"75",2016,"NYY",84,78,48,1428.1,4.16,4.2,18.7
"76",2019,"CIN",75,87,46,1438,4.18,4.23,19.1
"77",2019,"MIN",101,61,50,1463.1,4.18,4.03,23.5
"78",2016,"TBR",68,94,42,1426.1,4.2,4.26,10.6
"79",2017,"LAA",80,82,43,1440.2,4.2,4.43,11
"80",2019,"ATL",97,65,44,1450.2,4.2,4.39,12.3
"81",2016,"KCR",81,81,41,1440,4.21,4.42,12.1
"82",2016,"BAL",89,73,54,1432,4.22,4.31,15.7
"83",2016,"PIT",78,83,51,1450.2,4.22,4.3,9
"84",2017,"PIT",75,87,36,1440.2,4.23,4.23,16.6
"85",2016,"DET",86,75,47,1428,4.24,4.16,18.5
"86",2019,"ARI",85,77,45,1465,4.25,4.4,14.2
"87",2019,"NYM",86,76,38,1461,4.25,4.1,20.4
"88",2015,"TEX",88,74,45,1442.2,4.25,4.34,11
"89",2019,"WSN",93,69,40,1439.1,4.28,4.14,22
"90",2015,"MIL",68,94,40,1435,4.28,4.17,9.9
"91",2016,"LAA",74,88,29,1421.1,4.28,4.62,8
"92",2019,"NYY",103,59,50,1443,4.31,4.47,18.4
"93",2018,"COL",91,72,51,1452.1,4.33,4.06,17
"94",2015,"BOS",78,84,40,1448.1,4.34,4.17,11.8
"95",2015,"CIN",64,98,35,1453.1,4.35,4.24,10.8
"96",2019,"SFG",77,85,41,1469,4.38,4.55,8.5
"97",2016,"TEX",95,67,56,1443,4.38,4.58,12.6
"98",2019,"MIL",89,73,50,1459.1,4.4,4.46,12.1
"99",2018,"SDP",66,96,36,1457,4.41,4.1,12.3
"100",2015,"ATL",67,95,44,1425.1,4.41,4.34,7
"101",2017,"TOR",76,86,45,1465,4.42,4.31,16.6
"102",2016,"SDP",68,94,35,1440,4.44,4.4,8.6
"103",2017,"SEA",78,84,39,1440.1,4.46,4.7,9.3
"104",2017,"SFG",64,98,32,1452,4.5,4.22,11.4
"105",2018,"MIN",78,84,37,1443.1,4.5,4.39,11.3
"106",2016,"ATL",68,93,39,1447.2,4.51,4.32,9
"107",2017,"COL",87,75,47,1437.2,4.51,4.32,18.6
"108",2016,"OAK",69,93,42,1433.1,4.51,4.24,13.7
"109",2019,"PHI",81,81,36,1453.2,4.53,4.88,8.8
"110",2017,"PHI",66,96,33,1441,4.57,4.56,14.3
"111",2018,"DET",64,98,37,1425.1,4.6,4.59,10
"112",2017,"MIN",85,77,42,1436,4.6,4.71,8.9
"113",2019,"SDP",70,92,47,1432,4.63,4.22,15.5
"114",2017,"KCR",80,82,39,1437.2,4.63,4.43,13.7
"115",2015,"DET",74,87,35,1447,4.64,4.46,11.7
"116",2016,"PHI",71,91,43,1437,4.64,4.34,13.9
"117",2018,"CIN",67,95,38,1441,4.65,4.68,8.6
"118",2017,"OAK",75,87,35,1431,4.67,4.57,9.6
"119",2015,"PHI",63,99,35,1436.1,4.69,4.4,10.3
"120",2019,"BOS",84,78,33,1471,4.7,4.28,16.7
"121",2017,"SDP",71,91,45,1430.2,4.7,4.68,7.9
"122",2017,"TEX",78,84,29,1434.1,4.7,4.88,11.2
"123",2017,"ATL",72,90,36,1441.1,4.72,4.51,8.9
"124",2019,"MIA",57,105,27,1444.1,4.74,4.89,5.5
"125",2018,"MIA",63,98,30,1442,4.76,4.57,2.3
"126",2017,"CHW",67,95,25,1421.2,4.78,5.17,4.4
"127",2019,"TOR",67,95,33,1440.1,4.79,4.82,9.1
"128",2017,"MIA",77,85,34,1442.2,4.82,4.69,5.5
"129",2018,"CHW",62,100,34,1437,4.85,4.73,9.8
"130",2018,"TOR",73,89,39,1433.2,4.85,4.53,8.8
"131",2019,"CHW",72,89,33,1412.2,4.91,4.89,12.2
"132",2016,"CIN",68,94,28,1442,4.91,5.24,1
"133",2016,"COL",75,87,37,1429.1,4.92,4.38,13.1
"134",2018,"TEX",67,95,42,1431,4.92,4.79,10.8
"135",2018,"KCR",58,104,33,1432,4.95,4.66,6.7
"136",2017,"BAL",75,87,35,1441,4.97,4.96,8.6
"137",2019,"SEA",68,94,34,1439.1,5,5,6.3
"138",2017,"NYM",70,92,34,1434.2,5.01,4.59,8.7
"139",2015,"COL",68,94,36,1426.1,5.04,4.56,8.3
"140",2019,"TEX",78,84,33,1438,5.09,4.84,14.2
"141",2016,"MIN",59,103,26,1443,5.09,4.57,10.7
"142",2016,"ARI",69,93,31,1451.1,5.09,4.5,10.1
"143",2019,"LAA",72,90,32,1442.2,5.12,5.04,6.6
"144",2017,"CIN",68,94,33,1430,5.17,5.08,5.3
"145",2019,"PIT",69,93,31,1440,5.19,4.78,8.6
"146",2018,"BAL",47,115,28,1431,5.19,4.98,7.1
"147",2019,"KCR",59,103,37,1425,5.2,4.9,7.9
"148",2019,"DET",47,114,31,1433,5.26,4.84,11.6
"149",2017,"DET",64,98,32,1420.1,5.36,4.73,11.5
"150",2019,"COL",71,91,28,1448.2,5.58,5.23,6.3
"151",2019,"BAL",54,108,27,1443,5.67,5.56,5.3
